model_family,layers_or_params,runs_return,mean_final_return,std_final_return,max_final_return,min_final_return
classical,64,10,-8.7,11.79025020938911,8.0,-21.0
classical,128,10,-6.7,9.413288479590966,11.0,-21.0
classical,256,10,-3.0,9.695359714832659,12.0,-21.0
classical,336,10,-0.8,11.142710621747295,14.0,-16.0
classical,4096,10,15.0,7.0285133563222315,19.0,-5.0
quantum_separable,1,10,-17.9,4.72122865364515,-8.0,-21.0
quantum_separable,2,10,-17.9,4.678675026115834,-8.0,-21.0
quantum_separable,3,10,-19.5,4.5,-6.0,-21.0
quantum_separable,4,10,-21.0,0.0,-21.0,-21.0
quantum_separable,5,10,-20.4,1.8,-15.0,-21.0
quantum_separable,6,10,-20.8,0.6,-19.0,-21.0
quantum_entangled,1,10,-10.0,13.386560424545209,13.0,-21.0
quantum_entangled,2,10,-2.1,15.022982393652732,17.0,-21.0
quantum_entangled,3,10,-1.0,12.609520212918492,17.0,-21.0
quantum_entangled,4,10,-10.0,12.066482503198685,16.0,-21.0
quantum_entangled,5,10,-14.8,4.955804677345546,-3.0,-21.0
quantum_entangled,6,10,-15.7,6.293647591023825,-2.0,-21.0
quantum_entangled_trainable_rzz,1,10,-5.0,12.625371281669304,12.0,-21.0
quantum_entangled_trainable_rzz,2,10,-9.7,10.909170454255449,9.0,-21.0
quantum_entangled_trainable_rzz,3,10,-10.2,9.4,4.0,-21.0
quantum_entangled_trainable_rzz,4,10,-14.4,8.345058418010025,2.0,-21.0
quantum_entangled_trainable_rzz,5,10,-13.4,11.825396399275586,19.0,-21.0
quantum_entangled_trainable_rzz,6,10,-16.8,6.705221845696084,-1.0,-21.0
